,Date,Temperature,Precipitation,WindSpeed,WindDirection,Humidity,VaporPressure,DewPoint,LocalPressure,SeaLevelPressure,Sunshine,Radiation,Snow,3hourSnow,AmountofCloud,LowMiddleLevelClouds,CloudsShape,MinimumCloudHeight,Visibility,GroundCondition,GroundTemperature,Soil5cm,Soil10cm,Soil20cm,Soil30cm
101,1908-12-20 06:00,-10.4,,0.4,0.0,70.0,2.0,,1029.2,,,,,,0.0,,,,,,,,,,
102,1908-12-20 08:00,,,,,,,,,,0.3,,,,,,,,,,,,,,
103,1908-12-20 09:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
104,1908-12-20 10:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
105,1908-12-20 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
106,1908-12-20 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
107,1908-12-20 13:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
108,1908-12-20 14:00,-0.3,,3.5,230.0,27.0,1.6,,1028.3,,1.0,,,,0.0,,,,,,,,,,
109,1908-12-20 15:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
110,1908-12-20 16:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
111,1908-12-20 17:00,,,,,,,,,,0.3,,,,,,,,,,,,,,
112,1908-12-20 22:00,-6.5,,1.0,160.0,70.0,2.7,,1028.3,,,,,,2.0,,,,,,,,,,
113,1908-12-21 00:00,,,,,,,,,,,,,,,,,,,,,,,,
114,1908-12-21 03:00,,,,,,,,,,,,,,,,,,,,,,,,
115,1908-12-21 06:00,-7.1,,1.3,160.0,72.0,2.5,,1026.2,,,,,,1.0,,,,,,,,,,
116,1908-12-21 08:00,,,,,,,,,,0.4,,,,,,,,,,,,,,
117,1908-12-21 09:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
118,1908-12-21 10:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
119,1908-12-21 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
120,1908-12-21 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
121,1908-12-21 13:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
122,1908-12-21 14:00,4.3,,2.2,90.0,49.0,4.0,,1022.7,,1.0,,,,4.0,,,,,,,,,,
123,1908-12-21 15:00,,,,,,,,,,0.2,,,,,,,,,,,,,,
124,1908-12-21 16:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
125,1908-12-21 17:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
126,1908-12-21 22:00,-2.6,,0.8,50.0,72.0,3.6,,1020.6,,,,,,0.0,,,,,,,,,,
127,1908-12-22 00:00,,,,,,,,,,,,,,,,,,,,,,,,
128,1908-12-22 03:00,,,,,,,,,,,,,,,,,,,,,,,,
129,1908-12-22 06:00,-0.2,,3.7,140.0,65.0,4.0,,1012.5,,,,,,10.0,,,,,,,,,,
130,1908-12-22 08:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
131,1908-12-22 09:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
132,1908-12-22 10:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
133,1908-12-22 11:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
134,1908-12-22 12:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
135,1908-12-22 13:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
136,1908-12-22 14:00,1.0,,0.2,0.0,82.0,5.3,,1003.8,,0.0,,,,10.0,,,,,,,,,,
137,1908-12-22 15:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
138,1908-12-22 16:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
139,1908-12-22 17:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
140,1908-12-22 22:00,-3.1,,11.7,270.0,59.0,2.9,,1009.8,,,,,,0.0,,,,,,,,,,
141,1908-12-23 00:00,,,,,,,,,,,,,,,,,,,,,,,,
142,1908-12-23 03:00,,,,,,,,,,,,,,,,,,,,,,,,
143,1908-12-23 06:00,-6.9,,4.3,270.0,57.0,2.1,,1016.4,,,,,,0.0,,,,,,,,,,
144,1908-12-23 08:00,,,,,,,,,,0.3,,,,,,,,,,,,,,
145,1908-12-23 09:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
146,1908-12-23 10:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
147,1908-12-23 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
148,1908-12-23 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
149,1908-12-23 13:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
150,1908-12-23 14:00,-2.9,,6.8,270.0,39.0,1.9,,1019.0,,1.0,,,,0.0,,,,,,,,,,
151,1908-12-23 15:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
152,1908-12-23 16:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
153,1908-12-23 17:00,,,,,,,,,,0.4,,,,,,,,,,,,,,
154,1908-12-23 22:00,-8.7,,0.5,180.0,83.0,2.7,,1020.8,,,,,,0.0,,,,,,,,,,
